Award Name,External,Award Finder,Canvas,Procedures,Cascade Edit
Beinecke,https://beineckescholarship.org/beinecke-scholarship/,https://college.emory.edu/national-awards/awards/award-beinecke.html,https://canvas.emory.edu/courses/30739/pages/beinecke-scholarship-program,http://college.emory.edu/national-awards/documents/secure-documents/beinecke-procedures.pdf,https://cascade.emory.edu/entity/open.act?id=779788250ae72098246a8ecaa7e69328&type=page
B Jones Scholar,,https://college.emory.edu/national-awards/awards/award-b-jones-scholar.html,https://canvas.emory.edu/courses/30739/pages/bobby-jones-scholarship,http://college.emory.edu/national-awards/documents/secure-documents/bobby-jones-scholarship-procedures.pdf,https://cascade.emory.edu/entity/open.act?id=81fab0c70ae72098246a8eca3ea7d806&type=page
Bredow,,https://college.emory.edu/national-awards/awards/award-bredow.html,https://canvas.emory.edu/courses/30739/pages/Bredow%20Scholarship?titleize=0,http://college.emory.edu/national-awards/documents/secure-documents/bredow-procedures.pdf,https://cascade.emory.edu/entity/open.act?id=81e4cfef0ae72098246a8eca0894cdd2&type=page
Carnegie,https://carnegieendowment.org/junior-fellows-program-important-dates?lang=en,https://college.emory.edu/national-awards/awards/award-carnegie.html,https://canvas.emory.edu/courses/30739/pages/carnegie-gaither-junior-fellows-program,http://college.emory.edu/national-awards/documents/secure-documents/carnegie-procedures.pdf,https://cascade.emory.edu/entity/open.act?id=81fd0b2d0ae72098246a8ecae2efc081&type=page
Churchill,https://www.churchillscholarship.org/the-scholarship#Apply,https://college.emory.edu/national-awards/awards/award-churchill.html,https://canvas.emory.edu/courses/30739/pages/winston-churchill-foundation-scholarship,http://college.emory.edu/national-awards/documents/secure-documents/churchill-procedures.pdf,https://cascade.emory.edu/entity/open.act?id=856920220ae72098246a8ecab7b686c0&type=page
Critical Language,https://clscholarship.org/apply,https://college.emory.edu/national-awards/awards/award-critical-language.html,,,https://cascade.emory.edu/entity/open.act?id=9b362ad80ae720870ea40fa3a204e66e&type=page
Daad,https://www.daad.org/en/find-funding/graduate-opportunities/research-grants/german-studies-research-grants/,https://college.emory.edu/national-awards/awards/award-daad.html,,,https://cascade.emory.edu/entity/open.act?id=856a029f0ae72098246a8ecac453fb37&type=page
Frederick Douglas,https://www.ciee.org/go-abroad/college-study-abroad/scholarships/douglass-oconnell-global-internship,https://college.emory.edu/national-awards/awards/award-frederick-douglas.html,,,
Eisenhower,https://www.efworld.org/apply-now/,https://college.emory.edu/national-awards/awards/award-eisenhower.html,https://canvas.emory.edu/courses/30739/pages/eisenhower-global-scholars,,https://cascade.emory.edu/entity/open.act?id=86235b6e0ae720870b9cda27da910ef2&type=page
EAB,https://together.emory.edu/alumni/awards/student-awards-and-scholarship,https://college.emory.edu/national-awards/awards/award-EAB.html,,,https://cascade.emory.edu/entity/open.act?id=c5fad0590ae7209803e33f516afdd498&type=page
